,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,Carutapera,-1.2,-46.02,74.68,93,17,5.53,BR,1594688228
277,Ende,-8.84,121.66,81.93,61,11,5.75,ID,1594688230
278,Hasaki,35.73,140.83,75.2,94,75,9.17,JP,1594688231
279,Deputatsky,69.3,139.9,51.12,93,100,6.4,RU,1594688232
280,Miles City,46.41,-105.84,77.0,20,1,13.87,US,1594688040
281,Anjiang,27.32,110.1,85.71,67,80,3.74,CN,1594688234
282,Vardø,70.37,31.11,41.0,100,20,9.17,NO,1594688236
283,Ancud,-41.87,-73.82,39.99,93,100,6.49,CL,1594688237
284,Oodweyne,9.41,45.06,73.2,54,100,16.93,SO,1594688238
285,Cabatuan,10.88,122.49,83.89,74,100,1.63,PH,1594688239
286,Gizo Government Station,-8.1,156.84,83.86,70,100,5.82,SB,1594688241
287,Borogontsy,62.67,131.17,75.2,51,0,7.58,RU,1594688242
288,Manokwari,-0.87,134.08,83.08,71,89,7.38,ID,1594688243
289,Mar del Plata,-38.0,-57.56,42.01,60,20,14.99,AR,1594688244
290,Vila Franca do Campo,37.72,-25.43,66.2,82,20,8.05,PT,1594688245
291,Smirnykh,49.75,142.83,62.33,77,95,5.39,RU,1594688247
292,Dombarovskiy,50.76,59.54,71.71,54,0,10.36,RU,1594688249
293,Teya,60.38,92.63,68.85,61,0,4.76,RU,1594688250
294,Metro,-5.11,105.31,77.94,85,100,2.01,ID,1594688251
295,Ponta do Sol,32.67,-17.1,69.8,68,20,4.7,PT,1594688253
296,Yambio,4.57,28.4,67.35,96,100,2.62,SS,1594688047
297,Rovaniemi,66.5,25.72,51.8,93,75,6.93,FI,1594688126
298,Pahrump,36.21,-115.98,108.0,9,0,10.0,US,1594688256
299,Mwinilunga,-11.74,24.43,52.23,65,0,2.82,ZM,1594688258
300,Mossamedes,-15.2,12.15,61.43,81,0,1.12,AO,1594688259
301,Ossora,59.24,163.07,59.97,77,100,9.8,RU,1594688260
302,Aksu,41.12,80.26,75.87,39,100,16.96,CN,1594688237
303,Agirish,61.92,63.02,53.92,66,38,7.11,RU,1594688262
304,Micheweni,-4.97,39.83,75.76,82,0,11.43,TZ,1594688264
305,Nicoya,10.15,-85.45,82.4,74,75,3.36,CR,1594688265
306,Sīrjān,29.45,55.68,70.21,41,0,7.07,IR,1594688266
307,Abu Dhabi,24.47,54.37,98.6,53,8,8.05,AE,1594688263
308,Codrington,-38.27,141.97,52.81,78,2,6.82,AU,1594688269
309,Los Llanos de Aridane,28.66,-17.92,69.8,77,75,12.75,ES,1594688270
310,Sri Aman,1.24,111.46,75.2,94,40,0.67,MY,1594688271
311,Helena,46.59,-112.04,77.0,15,1,12.75,US,1594688053
312,Kaeo,-35.1,173.78,61.0,3,93,5.99,NZ,1594688275
313,Bambous Virieux,-20.34,57.76,69.8,88,40,9.17,MU,1594688276
314,Solton,52.84,86.48,63.48,90,75,3.74,RU,1594688277
315,Korla,41.76,86.15,75.0,56,45,10.33,CN,1594688278
316,Ahipara,-35.17,173.17,62.38,70,82,5.44,NZ,1594688225
317,Terney,45.05,136.61,67.95,70,48,5.35,RU,1594688281
318,San Ignacio,17.16,-89.07,82.0,88,20,5.64,BZ,1594688282
319,Amga,60.9,131.96,76.64,65,96,3.38,RU,1594688283
320,Minsk,53.9,27.57,48.2,93,0,6.71,BY,1594688108
321,Buala,-8.14,159.59,85.6,65,70,7.29,SB,1594688241
322,Senanga,-16.12,23.27,49.93,43,0,4.85,ZM,1594688287
323,Guerrero Negro,27.98,-114.06,76.39,56,0,19.95,MX,1594688288
324,Byron Bay,-28.65,153.62,59.0,54,1,14.99,AU,1594688289
325,Ayan,56.45,138.17,59.14,75,8,14.25,RU,1594688290
326,Golden,39.76,-105.22,87.01,31,75,18.34,US,1594688292
327,Samarai,-10.62,150.67,79.14,88,84,9.78,PG,1594688293
328,Kerrville,30.05,-99.14,102.2,14,1,10.29,US,1594688294
329,Celestún,20.87,-90.4,83.71,74,17,16.04,MX,1594688295
330,Tres Arroyos,-38.37,-60.28,36.43,73,0,12.39,AR,1594688296
331,Atbasar,51.8,68.33,66.07,68,0,5.55,KZ,1594688298
332,Barra de Tecoanapa,16.52,-98.75,83.64,70,1,5.86,MX,1594688300
333,Maxixe,-23.86,35.35,59.4,72,0,9.89,MZ,1594688301
334,Amberley,39.2,-84.43,81.0,51,75,8.05,US,1594688303
335,Casino,-28.87,153.05,60.8,44,0,11.41,AU,1594688119
336,San Patricio,19.22,-104.7,87.8,74,20,11.41,MX,1594688305
337,Mezen',65.85,44.24,50.83,85,100,7.34,RU,1594688306
338,Plettenberg Bay,-34.05,23.37,52.34,61,82,22.39,ZA,1594688307
339,Kasimov,54.94,41.4,61.14,93,65,3.65,RU,1594688309
340,Marawi,8.0,124.29,82.99,77,100,4.0,PH,1594688310
341,Port Macquarie,-31.43,152.92,55.0,87,90,17.22,AU,1594688311
342,Makakilo City,21.35,-158.09,87.8,45,20,11.41,US,1594688312
343,Vanavara,60.34,102.28,72.36,53,42,4.27,RU,1594688314
344,Leona Vicario,20.97,-87.19,84.2,70,40,9.17,MX,1594688316
345,Ecoporanga,-18.37,-40.83,67.03,89,0,1.54,BR,1594688318
346,Thessalon,46.25,-83.57,75.2,47,75,3.36,CA,1594688319
347,Morón,-34.65,-58.62,46.0,52,0,1.01,AR,1594688320
348,Lebu,-37.62,-73.65,48.06,77,1,3.04,CL,1594688128
349,Srednekolymsk,67.45,153.68,68.31,34,29,11.45,RU,1594688322
350,Macao,22.2,113.55,87.8,70,20,6.93,MO,1594688055
351,Grindavik,63.84,-22.43,48.2,93,75,3.36,IS,1594688325
352,Nkhata Bay,-11.61,34.29,66.02,72,0,4.52,MW,1594688326
353,Tosya,41.02,34.04,56.46,79,2,3.11,TR,1594688327
354,Cidreira,-30.18,-50.21,52.2,68,0,14.43,BR,1594688138
355,Sattenapalle,16.4,80.18,78.8,94,90,5.21,IN,1594688330
356,Bundaberg,-24.85,152.35,62.01,47,0,20.8,AU,1594688331
357,Mumford,5.26,-0.76,74.82,89,85,11.25,GH,1594688332
358,Akropong,5.97,-0.09,77.0,94,90,12.75,GH,1594688333
359,Waddān,29.16,16.14,69.01,78,0,5.53,LY,1594688335
360,Pueblo Nuevo,23.38,-105.38,67.3,94,72,4.21,MX,1594688336
361,Talaya,61.38,152.75,65.19,61,98,6.24,RU,1594688337
362,Alappuzha,9.49,76.33,79.25,84,100,7.02,IN,1594688281
363,Karpathos,35.51,27.21,75.2,73,0,32.21,GR,1594688339
364,Pinyug,60.25,47.78,63.48,97,100,5.88,RU,1594688342
365,Laguna,38.42,-121.42,91.4,27,1,10.29,US,1594688343
366,Miandrivazo,-19.52,45.47,65.05,80,0,1.74,MG,1594688344
367,Kutum,14.2,24.67,79.34,41,24,5.91,SD,1594688346
368,Yatou,37.15,122.38,71.47,72,61,13.87,CN,1594688155
369,Antalaha,-14.9,50.28,65.14,86,29,6.91,MG,1594688348
370,Prado,-17.34,-39.22,71.85,85,3,5.75,BR,1594688349
371,Khandyga,62.67,135.6,78.44,57,21,4.94,RU,1594688350
372,Addanki,15.82,79.98,81.05,80,100,5.17,IN,1594688352
373,Anadyr,64.75,177.48,51.8,87,75,15.66,RU,1594688353
374,Tatishchevo,51.67,45.6,75.99,45,0,5.99,RU,1594688354
375,Souillac,-20.52,57.52,69.8,88,40,9.17,MU,1594688175
376,Moro,26.66,68.0,89.29,63,0,5.35,PK,1594688358
377,Karratha,-20.74,116.85,74.19,32,0,12.82,AU,1594688359
378,Talara,-4.58,-81.27,63.21,88,54,16.98,PE,1594688360
379,Sistranda,63.73,8.83,48.2,93,100,4.7,NO,1594688361
380,Yumen,40.28,97.2,71.8,41,4,8.84,CN,1594688302
381,Bariloche,-41.15,-71.31,28.4,74,100,5.82,AR,1594688364
382,Aklavik,68.22,-135.01,69.8,35,40,5.82,CA,1594688277
383,Vanimo,-2.67,141.3,85.35,62,44,4.94,PG,1594688366
384,Maragogi,-9.01,-35.22,73.78,85,4,3.85,BR,1594688307
385,Mareeba,-17.0,145.43,73.4,33,6,13.87,AU,1594688368
386,Keetmanshoop,-26.58,18.13,44.6,87,0,11.41,NA,1594688370
387,Saint Anthony,45.02,-93.22,82.99,51,40,18.34,US,1594688371
388,Ridgecrest,35.62,-117.67,107.6,4,1,21.92,US,1594688192
389,Saint George,37.1,-113.58,107.6,9,1,20.8,US,1594688184
390,Sangmélima,2.93,11.98,66.97,98,72,4.47,CM,1594688171
391,Daru,-9.08,143.21,78.85,86,79,17.02,PG,1594688229
392,Ilebo,-4.32,20.58,70.07,94,4,1.03,CD,1594688378
393,Itapora,-22.08,-54.79,72.72,68,65,5.12,BR,1594688379
394,Ca Mau,9.18,105.15,83.52,79,71,7.0,VN,1594688165
395,Lātehār,23.75,84.5,81.09,76,100,2.42,IN,1594688383
396,Odesskoye,54.21,72.97,68.68,81,0,6.87,RU,1594688384
397,Bay Roberts,47.6,-53.26,66.99,1,99,10.51,CA,1594688385
398,Siguiri,11.67,-9.5,70.48,91,100,3.47,GN,1594688387
399,Mandalī,33.75,45.55,86.29,16,0,5.77,IQ,1594688389
400,Newport,51.59,-3.0,61.0,97,46,5.93,GB,1594688269
401,Fier,40.72,19.56,67.86,57,0,5.75,AL,1594688391
402,Longford,53.73,-7.8,51.01,99,99,5.99,IE,1594688393
403,Gambēla,8.25,34.58,71.42,72,100,2.73,ET,1594688394
404,Cumberland,35.05,-78.87,80.6,78,1,4.7,US,1594688183
405,Alice Springs,-23.7,133.88,52.0,53,0,6.93,AU,1594688272
406,Paignton,50.44,-3.57,61.0,9,73,3.0,GB,1594688397
407,Mehamn,71.04,27.85,45.3,84,22,3.49,NO,1594688179
408,Hsinchu,24.8,120.97,91.99,52,100,1.01,TW,1594688401
409,Murgab,37.5,61.97,78.8,44,75,3.06,TM,1594688402
410,Sioux Lookout,50.1,-91.92,77.0,47,75,9.17,CA,1594688273
411,Alofi,-19.06,-169.92,77.0,57,40,23.04,NU,1594688406
412,Dakar,14.69,-17.44,82.4,83,89,4.7,SN,1594688176
413,Santa Cruz de la Sierra,-17.8,-63.17,75.2,88,75,3.36,BO,1594688410
414,Assiniboia,49.63,-105.98,64.8,44,13,15.86,CA,1594688411
415,Homer,59.64,-151.55,57.2,76,40,5.82,US,1594688412
416,Flinders,-34.58,150.86,57.0,83,90,14.0,AU,1594688297
417,Prince George,53.92,-122.75,66.99,45,20,6.93,CA,1594688407
418,Namasuba,0.69,32.42,61.93,89,70,0.47,UG,1594688416
419,Zemio,5.03,25.14,68.09,97,98,1.3,CF,1594688417
420,Luga,58.74,29.85,48.0,94,0,3.58,RU,1594688418
421,Nandurbar,21.37,74.25,79.03,82,100,15.52,IN,1594688419
422,Rawson,-43.3,-65.1,38.41,72,0,17.6,AR,1594688249
423,Fortuna,40.6,-124.16,66.99,67,20,16.11,US,1594688422
424,Aripuanã,-9.17,-60.63,78.71,54,36,1.57,BR,1594688423
425,Jaru,-10.44,-62.47,78.96,61,4,2.93,BR,1594688424
426,Praia da Vitória,38.73,-27.07,69.8,77,20,10.02,PT,1594688425
427,Santo André,-23.66,-46.54,73.99,56,3,5.82,BR,1594688427
428,Jerome,42.72,-114.52,82.4,17,1,19.46,US,1594688428
429,Sibu,2.3,111.82,75.2,94,40,3.36,MY,1594688209
430,Itapé,-25.85,-56.62,55.4,84,42,8.23,PY,1594688430
431,Forsytheganj,52.63,29.73,49.98,92,0,9.4,BY,1594688298
432,Qasigiannguit,68.82,-51.19,46.4,70,100,3.36,GL,1594688433
433,Tsimmerbude,54.67,20.13,51.8,87,40,4.47,RU,1594688434
434,Simbahan,6.3,120.58,82.42,74,100,7.11,PH,1594688435
435,Grand Gaube,-20.01,57.66,68.0,83,0,3.0,MU,1594688437
436,Mayo,38.89,-76.51,80.6,69,75,3.74,US,1594688437
437,Lipin Bor,60.26,37.98,55.44,96,100,7.36,RU,1594688439
438,Ugoofaaru,5.67,73.0,83.93,71,29,5.59,MV,1594688234
439,Puerto Nariño,-3.77,-70.38,77.0,94,75,5.82,CO,1594688441
440,Waspán,14.74,-83.97,82.4,88,75,9.17,NI,1594688443
441,Satipo,-11.25,-74.64,72.37,71,46,1.7,PE,1594688444
442,Vawkavysk,53.16,24.45,48.43,94,0,5.28,BY,1594688225
443,Sovetskiy,61.36,63.58,57.76,75,95,6.02,RU,1594688446
444,Shubarshi,48.59,57.19,79.07,30,0,9.44,KZ,1594688447
445,Atar,20.52,-13.05,93.6,18,37,6.71,MR,1594688320
446,Hanyang,32.14,105.51,71.11,95,100,0.38,CN,1594688450
447,Muisne,0.6,-80.03,75.06,89,95,10.42,EC,1594688451
448,Randazzo,37.88,14.95,75.99,73,16,5.99,IT,1594688453
449,Oddur,4.12,43.89,70.99,80,64,17.78,SO,1594688455
450,Kahului,20.89,-156.47,89.6,38,20,24.16,US,1594688231
451,Islamkot,24.7,70.18,84.18,71,50,11.32,PK,1594688457
452,Kruisfontein,-34.0,24.73,47.48,71,100,19.53,ZA,1594688185
453,Bathsheba,13.22,-59.52,82.4,78,40,16.11,BB,1594688459
454,Onguday,50.75,86.15,55.33,84,100,2.3,RU,1594688462
455,Algiers,36.75,3.04,75.2,88,40,6.93,DZ,1594688309
456,Beloha,-25.17,45.05,58.14,93,28,3.02,MG,1594688465
457,Lufilufi,-13.87,-171.6,84.0,83,82,8.01,WS,1594688466
458,Tahoua,14.89,5.27,83.75,50,100,8.28,NE,1594688467
459,Walvis Bay,-22.96,14.51,53.01,93,0,3.36,NA,1594688255
460,Kostanay,53.17,63.58,66.2,63,0,3.98,KZ,1594688404
461,Haines Junction,60.75,-137.51,62.2,38,100,7.94,CA,1594688461
462,Linxia Chengguanzhen,35.6,103.21,60.06,85,100,3.62,CN,1594688473
463,Sabak,3.77,100.99,75.2,100,20,2.24,MY,1594688474
464,Hambantota,6.12,81.12,78.8,100,75,6.93,LK,1594688475
465,Khani,41.96,42.96,69.8,94,90,2.24,GE,1594688477
466,San Cristobal,7.77,-72.22,65.66,89,100,3.33,VE,1594688219
467,Darhan,49.49,105.92,71.13,61,93,2.46,MN,1594688209
468,Bam,29.11,58.36,83.73,33,79,3.87,IR,1594688481
469,Cochrane,51.18,-114.47,64.0,44,90,10.29,CA,1594688323
470,Hervey Bay,-25.3,152.85,60.01,53,0,11.01,AU,1594688484
471,Rome,43.21,-75.46,73.4,64,20,10.29,US,1594688219
472,Masvingo,-20.06,30.83,49.84,55,0,3.85,ZW,1594688340
473,Chifeng,42.27,118.96,79.02,49,100,7.18,CN,1594688487
474,Tilichiki,60.47,166.1,55.24,83,100,6.6,RU,1594688465
475,Egvekinot,66.32,-179.17,48.74,72,98,6.44,RU,1594688425
476,Elizabeth City,36.29,-76.25,75.2,94,20,5.82,US,1594688261
477,Ilihan,13.63,121.08,82.31,76,100,4.29,PH,1594688495
478,Arlit,18.74,7.39,93.58,28,100,15.08,NE,1594688457
479,Prince Rupert,54.32,-130.32,60.8,77,75,4.7,CA,1594688385
480,Pangnirtung,66.15,-65.71,54.66,54,100,3.44,CA,1594688472
481,Manggar,-2.88,108.27,81.66,79,100,11.12,ID,1594688501
482,Suba,10.84,121.01,83.53,71,100,5.39,PH,1594688503
483,Bengkulu,-3.8,102.27,77.16,84,100,4.5,ID,1594688490
484,Juba,4.85,31.58,70.72,91,87,3.47,SS,1594688508
485,Nyrob,60.73,56.72,60.8,71,69,3.44,RU,1594688509
486,St. George's,12.06,-61.75,82.4,83,20,9.17,GD,1594688305
487,Sīwah,29.2,25.52,75.09,49,0,6.87,EG,1594688513
488,Chu,43.6,73.76,73.0,77,7,6.96,KZ,1594688514
489,Tsybuliv,49.08,29.85,51.04,87,1,12.35,UA,1594688515
490,Kamphaeng Phet,16.48,99.52,77.47,91,100,1.16,TH,1594688516
491,Sakakah,29.97,40.21,89.6,14,0,8.05,SA,1594688435
492,Glendive,47.11,-104.71,75.99,29,20,12.75,US,1594688409
493,Tommot,58.96,126.29,80.53,62,43,3.71,RU,1594688520
494,Comodoro Rivadavia,-45.87,-67.5,33.8,64,0,6.93,AR,1594688339
495,Ucluelet,48.93,-125.55,64.0,67,20,16.11,CA,1594688223
496,Chapais,49.78,-74.85,71.6,35,1,6.93,CA,1594688524
497,Kailua,21.4,-157.74,87.8,58,40,11.41,US,1594688449
498,Chany,55.31,76.76,67.32,90,92,5.91,RU,1594688275
499,San Policarpo,12.18,125.51,85.33,72,2,8.88,PH,1594688527
500,Polewali,-3.43,119.34,81.34,72,4,3.27,ID,1594688529
501,São Geraldo do Araguaia,-6.4,-48.55,78.03,65,100,1.39,BR,1594688530
502,Katsuura,35.13,140.3,75.2,94,90,13.87,JP,1594688531
503,Albacete,38.83,-2.0,68.0,77,13,8.05,ES,1594688532
504,Antofagasta,-23.65,-70.4,55.4,76,0,6.93,CL,1594688413
505,Ullapool,57.9,-5.16,52.0,95,100,4.0,GB,1594688535
506,Barguzin,53.62,109.62,73.89,59,0,2.1,RU,1594688536
507,Kayes,14.0,-11.0,77.0,88,20,2.24,ML,1594688537
508,Brewster,41.4,-73.62,77.0,57,1,5.82,US,1594688538
509,Husavik,66.04,-17.34,51.8,87,90,6.93,IS,1594688540
510,Panabá,21.28,-88.27,78.8,86,86,10.04,MX,1594688541
511,Yar-Sale,66.83,70.83,53.29,66,29,16.31,RU,1594688542
512,Haskovo,41.94,25.57,62.6,59,75,8.05,BG,1594688543
513,Namwala,-15.75,26.44,49.03,79,0,1.97,ZM,1594688544
514,Takoradze,4.88,-1.76,75.16,85,48,11.77,GH,1594688546
515,Waiuku,-37.25,174.75,60.8,82,99,3.36,NZ,1594688547
516,Lujiang,31.26,117.28,75.99,100,100,2.24,CN,1594688548
517,Calabozo,8.92,-67.43,76.44,89,56,5.01,VE,1594688549
518,Tay Ninh,11.3,106.1,81.7,81,57,2.17,VN,1594688550
519,Inongo,-1.95,18.27,68.54,93,97,4.83,CD,1594688526
520,Piopio,-38.47,175.02,56.8,91,100,3.44,NZ,1594688553
521,San Juan,-31.54,-68.54,41.38,66,0,1.88,AR,1594688459
522,Zyryanka,65.75,150.85,75.65,34,72,3.87,RU,1594688555
523,Baiquan,47.58,126.08,82.83,58,0,3.0,CN,1594688556
524,Luanda,-8.84,13.23,67.05,88,81,4.34,AO,1594688405
525,Loikaw,19.67,97.21,71.58,91,99,3.33,MM,1594688559
526,Río Bueno,-40.32,-72.97,33.8,100,90,0.6,CL,1594688560
527,Manzhouli,49.6,117.43,72.9,67,100,3.44,CN,1594688561
528,Orán,-23.13,-64.33,64.0,86,100,1.36,AR,1594688563
529,Arman',59.7,150.17,67.15,61,100,5.46,RU,1594688564
530,Moranbah,-22.0,148.05,61.75,35,0,12.03,AU,1594688565
531,Kieta,-6.22,155.63,85.14,62,87,3.76,PG,1594688566
532,Isabela,6.71,121.97,78.8,88,75,3.36,PH,1594688567
533,Itarema,-2.92,-39.92,75.85,74,7,11.3,BR,1594688570
534,Baruun-Urt,46.68,113.28,73.08,56,96,2.24,MN,1594688572
535,Ibrā’,22.69,58.53,81.79,65,0,1.28,OM,1594688574
536,Pyshchug,58.89,45.71,63.27,98,88,5.39,RU,1594688575
537,Price,39.6,-110.81,91.4,15,1,20.8,US,1594688576
538,Örnsköldsvik,63.29,18.72,44.6,93,0,3.36,SE,1594688577
539,Batemans Bay,-35.72,150.18,50.0,83,98,5.01,AU,1594688578
540,Oistins,13.07,-59.53,82.4,78,40,16.11,BB,1594688580
541,Tevaitoa,-16.78,-151.5,79.65,78,100,14.9,PF,1594688581
542,Tak,16.58,98.83,75.2,100,75,3.0,TH,1594688465
543,Omsukchan,62.53,155.8,70.16,49,5,2.77,RU,1594688585
544,Mtwara,-10.27,40.18,69.6,92,88,8.9,TZ,1594688586
545,Adrar,20.5,-10.07,95.49,13,45,6.55,MR,1594688452
546,Ambam,2.38,11.28,68.49,97,99,3.98,CM,1594688588
547,Malayal,7.21,121.94,78.8,88,75,3.36,PH,1594688589
548,Tanout,14.97,8.89,83.43,50,41,10.78,NE,1594688428
549,Broken Hill,-31.95,141.43,46.4,87,0,9.17,AU,1594688592
550,San Miguel de Cozumel,20.51,-86.95,86.0,70,5,8.05,MX,1594688593
551,Vangaindrano,-23.35,47.6,63.72,92,9,3.67,MG,1594688594
552,Charters Towers,-20.1,146.27,62.87,35,100,13.65,AU,1594688595
553,Borazjan,29.27,51.22,87.17,20,0,3.62,IR,1594688597
